S.No,HS,AS,CT,NC,TLD,ALD,MD,TLA,ALA,MLA,TLC,ALC,MLC,TDO,MO,MiC,MaC,LOC,CC,CA,CE,SC,CLOC,CD,NL,DIT,CBO,RFC,LCOM,NOC,CBOI,TNM,TNPM,TNLM,TNS,TNG,TNA,TestCount,CS,JC,SD,JW,DL,LCS,NG
19,0.0019,0.0010,0.0,3,36,12.0,36,72,24.0,36,108,36.0,36,2,0.6666666666666666,0,2,8.0,1.0,0.0,0.0,1.0,25.0,0.757576,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
20,0.0317,0.0164,0.0,2,7,3.5,7,70,35.0,60,77,38.5,60,1,1.0,0,1,30.0,4.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,4.0,4.0,4.0,0.0,2.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
21,0.0586,0.0010,0.0,16,132,8.25,66,198,12.375,66,330,20.625,66,3,0.625,3,0,30.0,5.0,0.0,2.0,10.0,6.0,0.166667,0.0,1.0,2.0,7.0,2.0,0.0,0.0,12.0,11.0,5.0,0.0,6.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
22,0.0022,0.0393,3.0,8,96,12.0,70,163,20.375,70,259,32.375,70,3,0.625,2,1,32.0,5.0,3.0,0.0,6.0,9.0,0.219512,0.0,0.0,1.0,5.0,0.0,0.0,9.0,5.0,5.0,5.0,0.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
23,0.0570,0.0859,53.111111111111114,5,14,2.8,11,159,31.8,94,173,34.6,94,3,0.4,1,2,89.0,16.0,14.0,0.0,33.0,8.0,0.0824742,4.0,0.0,0.0,9.0,1.0,0.0,12.0,9.0,9.0,9.0,3.0,2.0,10.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
24,0.1240,0.0010,0.0,12,135,11.25,78,319,26.583333333333332,103,454,37.833333333333336,103,3,0.5,3,0,120.0,17.0,0.0,10.0,38.0,8.0,0.0625,2.0,1.0,7.0,19.0,1.0,0.0,0.0,9.0,8.0,9.0,2.0,1.0,7.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
25,0.0808,0.0010,0.0,25,154,6.16,26,255,10.2,62,409,16.36,71,4,0.6,4,0,54.0,10.0,0.0,15.0,22.0,4.0,0.0689655,2.0,1.0,5.0,20.0,1.0,0.0,2.0,5.0,3.0,5.0,0.0,0.0,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
26,0.0808,0.0010,0.0,3,2,0.6666666666666666,2,65,21.666666666666668,61,67,22.333333333333332,61,1,1.0,0,1,36.0,7.0,0.0,8.0,13.0,7.0,0.162791,1.0,1.0,5.0,12.0,2.0,0.0,0.0,4.0,3.0,4.0,0.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
27,0.0808,0.0010,0.0,21,115,5.476190476190476,18,197,9.380952380952381,59,312,14.857142857142858,68,4,0.6190476190476191,4,0,39.0,7.0,0.0,11.0,16.0,4.0,0.0930233,1.0,1.0,5.0,15.0,2.0,0.0,0.0,4.0,3.0,4.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
28,0.0476,0.0123,45.0,2,1,0.5,1,90,45.0,88,91,45.5,88,1,1.0,0,1,47.0,10.0,4.0,5.0,11.0,8.0,0.145455,0.0,3.0,3.0,15.0,3.0,0.0,3.0,22.0,18.0,10.0,2.0,7.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
29,0.0708,0.0010,0.0,4,47,11.75,44,162,40.5,112,209,52.25,112,2,0.5,0,2,69.0,15.0,0.0,2.0,23.0,7.0,0.0921053,2.0,3.0,2.0,13.0,4.0,0.0,0.0,23.0,19.0,11.0,2.0,7.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
30,0.0013,0.0287,2.0,3,12,4.0,11,53,17.666666666666668,37,65,21.666666666666668,37,2,0.6666666666666666,0,2,13.0,2.0,1.0,0.0,2.0,24.0,0.648649,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
31,0.0013,0.0251,2.0,3,12,4.0,11,53,17.666666666666668,37,65,21.666666666666668,37,2,0.6666666666666666,0,2,13.0,2.0,1.0,0.0,2.0,24.0,0.648649,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
32,0.0022,0.0163,0.6666666666666666,4,13,3.25,11,54,13.5,35,67,16.75,35,2,0.75,0,2,13.0,2.0,1.0,0.0,2.0,24.0,0.648649,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
33,0.0022,0.0269,6.666666666666667,3,12,4.0,11,53,17.666666666666668,37,65,21.666666666666668,37,2,0.6666666666666666,0,2,13.0,2.0,1.0,0.0,2.0,24.0,0.648649,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
34,0.0476,0.0349,63.33333333333333,2,1,0.5,1,90,45.0,88,91,45.5,88,1,1.0,0,1,48.0,10.0,5.0,8.0,12.0,7.0,0.127273,0.0,3.0,3.0,18.0,3.0,0.0,4.0,22.0,18.0,10.0,2.0,7.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
35,0.0210,0.0390,7.666666666666666,10,88,8.8,35,188,18.8,97,276,27.6,97,4,0.5,3,0,88.0,8.0,3.0,11.0,11.0,4.0,0.0434783,0.0,1.0,3.0,19.0,0.0,0.0,10.0,26.0,14.0,8.0,0.0,11.0,11.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
