S.No,HS,AS,CT,NC,TLD,ALD,MD,TLA,ALA,MLA,TLC,ALC,MLC,TDO,MO,MiC,MaC,LOC,CC,CA,CE,SC,CLOC,CD,NL,DIT,CBO,RFC,LCOM,NOC,CBOI,TNM,TNPM,TNLM,TNS,TNG,TNA,TestCount,CS,JC,SD,JW,DL,LCS,NG
501,0.0010,0.0018,62.68333333333334,2,0,0.0,0,39,19.5,26,39,19.5,26,2,0.5,0,2,12.0,3.0,1.0,0.0,3.0,6.0,0.333333,0.0,2.0,2.0,3.0,1.0,5.0,6.0,18.0,17.0,3.0,1.0,5.0,4.0,0,0.0019139174938961672,0.11764705882352941,0.21052631578947367,0.5706747174263,1298.0,1392.0,0.13154494762420654
502,0.0136,0.0054,390.75,17,72,4.235294117647059,31,156,9.176470588235293,65,228,13.411764705882353,75,3,0.8823529411764706,2,1,43.0,8.0,1.0,7.0,20.0,8.0,0.156863,1.0,2.0,11.0,12.0,3.0,0.0,3.0,24.0,12.0,5.0,2.0,5.0,17.0,1,0.001703434964314897,0.12045454545454545,0.2150101419878296,0.5620377659797668,1464.0,1554.0,0.12115943431854248
503,0.0001,0.0021,6.0,5,18,3.6,15,50,10.0,46,68,13.6,46,3,0.6,2,1,9.0,2.0,0.0,0.0,2.0,3.0,0.25,0.0,3.0,1.0,2.0,0.0,0.0,0.0,18.0,17.0,2.0,1.0,5.0,5.0,0,0.002461799108544519,0.11764705882352941,0.21052631578947367,0.569878876209259,1391.0,1481.0,0.1222693920135498
504,0.0393,0.0014,514.35,12,55,4.583333333333333,36,147,12.25,36,202,16.833333333333332,72,3,0.8333333333333334,2,1,51.0,11.0,6.0,6.0,23.0,1.0,0.0192308,2.0,3.0,14.0,13.0,5.0,2.0,5.0,32.0,24.0,7.0,1.0,4.0,9.0,0,0.0026874069105428753,0.10150891632373114,0.1843088418430884,0.5479611754417419,2621.0,2680.0,0.07632935047149658
505,0.0517,0.0008,140.66666666666666,8,98,12.25,47,408,51.0,256,506,63.25,256,2,0.875,1,1,234.0,50.0,31.0,3.0,113.0,76.0,0.3208748,4.0,4.0,10.0,33.0,7.0,2.0,16.0,39.0,26.0,39.0,4.0,5.0,19.0,0,0.0,0.08743169398907104,0.16080402010050251,0.6457104682922363,565.0,695.0,0.20596206188201904
506,0.0426,0.0298,4020.664915544227,12,188,15.666666666666666,98,294,24.5,98,482,40.166666666666664,196,4,0.75,3,1,60.0,19.0,455.0,8.0,24.0,12.0,0.166667,2.0,1.0,7.0,21.0,1.0,49.0,296.0,13.0,12.0,13.0,1.0,3.0,3.0,0,0.0,0.0856353591160221,0.15776081424936386,0.6507323384284973,525.0,657.0,0.21623563766479492
507,0.0426,0.0021,64.16715686274509,10,127,12.7,100,229,22.9,100,356,35.6,200,3,0.8,2,1,58.0,18.0,19.0,8.0,24.0,6.0,0.09375,2.0,1.0,7.0,20.0,1.0,1.0,4.0,12.0,11.0,12.0,1.0,3.0,3.0,0,0.0,0.08231707317073171,0.15211267605633802,0.6552205681800842,368.0,523.0,0.22623968124389648
508,0.0033,0.0063,40.0,12,64,5.333333333333333,42,135,11.25,65,199,16.583333333333332,74,3,0.8333333333333334,2,1,33.0,8.0,6.0,3.0,9.0,6.0,0.153846,0.0,2.0,2.0,11.0,5.0,0.0,5.0,27.0,14.0,8.0,3.0,6.0,16.0,1,0.0111169390411054,0.11363636363636363,0.20408163265306123,0.5244016647338867,7126.0,7154.0,0.032578110694885254
509,0.0606,0.0008,9.333333333333332,9,38,4.222222222222222,19,172,19.11111111111111,100,210,23.333333333333332,100,3,0.7777777777777778,2,1,118.0,17.0,4.0,4.0,48.0,4.0,0.040404,2.0,0.0,8.0,12.0,2.0,0.0,4.0,10.0,6.0,10.0,0.0,1.0,23.0,1,0.0,0.06933333333333333,0.12967581047381546,0.6669511795043945,462.0,611.0,0.2221311330795288
510,0.0510,0.0025,12.333333333333332,3,8,2.6666666666666665,7,254,84.66666666666667,239,262,87.33333333333333,239,2,0.6666666666666666,0,2,242.0,57.0,2.0,2.0,148.0,8.0,0.0538133,4.0,1.0,6.0,25.0,2.0,0.0,3.0,28.0,15.0,28.0,0.0,4.0,13.0,1,0.02003826592602198,0.09746328437917223,0.17761557177615572,0.5359849333763123,4881.0,4910.0,0.04613465070724487
511,0.0234,0.0048,383.01369047619056,12,148,12.333333333333334,74,211,17.583333333333332,81,359,29.916666666666668,148,3,0.6666666666666666,2,1,21.0,7.0,20.0,1.0,8.0,16.0,0.432432,2.0,1.0,3.0,5.0,1.0,0.0,5.0,4.0,4.0,4.0,0.0,2.0,1.0,0,0.02437916802598911,0.11287128712871287,0.20284697508896798,0.5589548349380493,1454.0,1549.0,0.118144690990448
512,0.0182,0.0031,0.1,4,27,6.75,25,52,13.0,25,79,19.75,50,3,0.5,0,3,2.0,0.0,0.0,0.0,0.0,6.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0023864921772893508,0.11561866125760649,0.20727272727272728,0.5646811127662659,1432.0,1514.0,0.11989343166351318
513,0.0001,0.0198,692.0201794374213,7,45,6.428571428571429,28,73,10.428571428571429,28,118,16.857142857142858,56,3,0.7142857142857143,2,1,8.0,2.0,26.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,19.0,17.0,15.0,2.0,0.0,6.0,10.0,1,0.024182112113772497,0.12432432432432433,0.22115384615384615,0.6371967196464539,535.0,667.0,0.22372156381607056
514,0.0001,0.0209,574.5582863496658,7,44,6.285714285714286,27,71,10.142857142857142,27,115,16.428571428571427,54,3,0.7142857142857143,2,1,8.0,2.0,23.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,16.0,17.0,15.0,2.0,0.0,6.0,10.0,1,7.842790406431774E-4,0.09686609686609686,0.17662337662337663,0.6300162672996521,386.0,544.0,0.22673267126083374
515,0.0001,0.0003,0.0,3,1,0.3333333333333333,1,31,10.333333333333334,17,32,10.666666666666666,17,2,0.6666666666666666,0,2,6.0,1.0,0.0,0.0,1.0,6.0,0.5,0.0,3.0,1.0,1.0,0.0,0.0,0.0,22.0,18.0,1.0,2.0,5.0,6.0,0,0.0010645526869349248,0.09620991253644315,0.17553191489361702,0.630115270614624,347.0,493.0,0.238095223903656
516,0.0070,0.0497,153.7059829059829,14,222,15.857142857142858,93,272,19.428571428571427,93,494,35.285714285714285,186,3,0.8571428571428571,2,1,20.0,6.0,49.0,6.0,6.0,3.0,0.130435,0.0,1.0,3.0,12.0,4.0,0.0,32.0,24.0,24.0,6.0,0.0,1.0,1.0,1,0.0,0.0764525993883792,0.14204545454545456,0.5730745196342468,1009.0,1126.0,0.15440583229064941
517,0.0262,0.0024,0.0,6,48,8.0,38,86,14.333333333333334,38,134,22.333333333333332,76,2,0.8333333333333334,1,1,9.0,2.0,1.0,0.0,2.0,6.0,0.4,0.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,0,9.627921880682926E-4,0.09329446064139942,0.17066666666666666,0.6437957286834717,361.0,508.0,0.22746330499649048
